Surname,Surname2,Romaji Name,FirstChar,SecondChar
有賀,有賀,Ariga,有,賀
手島,手島,Teshima,手,島
楠本,楠本,Kusumoto,楠,本
小堀,小堀,Kobori,小,堀
田端,田端,Tabata,田,端
志田,志田,Shida,志,田
島津,島津,Shimazu,島,津
滝川,滝川,Takigawa,滝,川
明石,明石,Akashi,明,石
沢井,沢井,Sawai,沢,井
谷村,谷村,Tanimura,谷,村
浦野,浦野,Urano,浦,野
横川,横川,Yokokawa,横,川
国分,国分,Kokubu,国,分
梅村,梅村,Umemura,梅,村
坂東,坂東,Bandou,坂,東
本橋,本橋,Motohashi,本,橋
柳川,柳川,Yanagawa,柳,川
飛田,飛田,Hida,飛,田
江原,江原,Ebara,江,原
春日,春日,Shunjitsu,春,日
大和,大和,Yamato,大,和
岡山,岡山,Okayama,岡,山
内村,内村,Uchimura,内,村
角谷,角谷,Kadoya,角,谷
笹川,笹川,Sasakawa,笹,川
桑田,桑田,Kuwata,桑,田
花岡,花岡,Hanaoka,花,岡
富山,富山,Toyama,富,山
寺沢,寺沢,Terasawa,寺,沢
白木,白木,Shiroki,白,木
益田,益田,Masuda,益,田
小栗,小栗,Oguri,小,栗
前島,前島,Maejima,前,島
砂川,砂川,Sunagawa,砂,川
梅沢,梅沢,Umesawa,梅,沢
曽我,曽我,Soga,曽,我
中塚,中塚,Nakatsuka,中,塚
吉崎,吉崎,Yoshizaki,吉,崎
石倉,石倉,Ishigura,石,倉
森永,森永,Morinaga,森,永
大嶋,大嶋,Ooshima,大,嶋
高畑,高畑,Takahata,高,畑
児島,児島,Kojima,児,島
勝田,勝田,Katsuta,勝,田
前野,前野,Maeno,前,野
小菅,小菅,Kosuga,小,菅
浅沼,浅沼,Asanuma,浅,沼
柴山,柴山,Shibayama,柴,山
桜田,桜田,Sakurada,桜,田
平良,平良,Taira,平,良
玉木,玉木,Tamaki,玉,木
井本,井本,Imoto,井,本
高谷,高谷,Takaya,高,谷
島袋,島袋,Shimabukuro,島,袋
沖田,沖田,Okita,沖,田
会田,会田,Aida,会,田
塩見,塩見,Shiomi,塩,見
熊田,熊田,Kumada,熊,田
大浦,大浦,Ooura,大,浦
本山,本山,Honzan,本,山
黒崎,黒崎,Kurosaki,黒,崎
池谷,池谷,Ikegaya,池,谷
倉本,倉本,Kuramoto,倉,本
八田,八田,Hatta,八,田
阪口,阪口,Sakaguchi,阪,口
鶴岡,鶴岡,Tsuruoka,鶴,岡
岩谷,岩谷,Iwatani,岩,谷
畠中,畠中,Hatakenaka,畠,中
野呂,野呂,Noro,野,呂
渡邉,渡邉,Watanabe,渡,邉
菅井,菅井,Sugai,菅,井
重松,重松,Shigematsu,重,松
大高,大高,Ootaka,大,高
戸塚,戸塚,Totsuka,戸,塚
古山,古山,Furuyama,古,山
城戸,城戸,Kido,城,戸
田渕,田渕,Tabuchi,田,渕
井村,井村,Imura,井,村
南部,南部,Nanbu,南,部
田尻,田尻,Tajiri,田,尻
石野,石野,Ishino,石,野
末吉,末吉,Sueyoshi,末,吉
野島,野島,Nojima,野,島
田所,田所,Tadokoro,田,所
寺岡,寺岡,Teraoka,寺,岡
恩田,恩田,Onda,恩,田
川添,川添,Kawazoe,川,添
神戸,神戸,Koube,神,戸
村木,村木,Muraki,村,木
石沢,石沢,Ishizawa,石,沢
米倉,米倉,Yonekura,米,倉
笹原,笹原,Sasahara,笹,原
平賀,平賀,Hiraga,平,賀
森井,森井,Morii,森,井
福地,福地,Fukuchi,福,地
菊田,菊田,Kikuta,菊,田
丸田,丸田,Maruta,丸,田
若山,若山,Wakayama,若,山
小口,小口,Koguchi,小,口
百瀬,百瀬,Momose,百,瀬
重田,重田,Shigeta,重,田
磯野,磯野,Isono,磯,野
藤島,藤島,Fujishima,藤,島
高嶋,高嶋,Takashima,高,嶋
増井,増井,Masui,増,井
寺西,寺西,Teranishi,寺,西
五味,五味,Gomi,五,味
新村,新村,Shinson,新,村
岡島,岡島,Okajima,岡,島
土谷,土谷,Tsuchiya,土,谷
長友,長友,Nagatomo,長,友
紺野,紺野,Konno,紺,野
小平,小平,Shouhei,小,平
鬼頭,鬼頭,Onigashira,鬼,頭
熊倉,熊倉,Kumakura,熊,倉
秋本,秋本,Akimoto,秋,本
猪股,猪股,Inomata,猪,股
深井,深井,Fukai,深,井
玉田,玉田,Tamada,玉,田
今川,今川,Imagawa,今,川
小高,小高,Odaka,小,高
安永,安永,An'Ei,安,永
中岡,中岡,Nakaoka,中,岡
照井,照井,Terui,照,井
富沢,富沢,Tomizawa,富,沢
牧田,牧田,Makita,牧,田
岩村,岩村,Iwamura,岩,村
赤羽,赤羽,Akabane,赤,羽
濱田,濱田,Hamada,濱,田
長浜,長浜,Nagahama,長,浜
有村,有村,Arimura,有,村
村中,村中,Muranaka,村,中
寺井,寺井,Terai,寺,井
松谷,松谷,Matsutani,松,谷
西井,西井,Nishii,西,井
氏家,氏家,Ujiie,氏,家
西森,西森,Nishimori,西,森
河西,河西,Kasai,河,西
夏目,夏目,Natsume,夏,目
新保,新保,Shinbo,新,保
神原,神原,Kanbara,神,原
西浦,西浦,Nishiura,西,浦
持田,持田,Mochida,持,田
松橋,松橋,Matsuhashi,松,橋
冨永,冨永,Tominaga,冨,永
福士,福士,Fukushi,福,士
藤山,藤山,Fujiyama,藤,山
柿沼,柿沼,Kakinuma,柿,沼
長坂,長坂,Nagasaka,長,坂
長沼,長沼,Naganuma,長,沼
品川,品川,Shinagawa,品,川
